date_value,country_code,confirmed,deaths,stringency_actual,stringency,stringency_legacy,stringency_legacy_disp
2020-01-24,SRB,0,0,2.78,2.78,3.57,3.57
2020-01-24,SSD,0,0,0,0,0,0
2020-01-24,SUR,0,0,0,0,0,0
2020-01-24,SVK,0,0,0,0,0,0
2020-01-24,LAO,0,0,0,0,0,0
2020-01-24,LBN,0,0,0,0,0,0
2020-01-24,LBR,0,0,0,0,0,0
2020-01-24,LBY,0,0,0,0,0,0
2020-01-24,LIE,0,0,0,0,0,0
2020-01-24,LKA,0,0,0,0,0,0
2020-01-24,LSO,0,0,0,0,0,0
2020-01-24,LTU,0,0,0,0,0,0
2020-01-24,LUX,0,0,0,0,0,0
2020-01-24,LVA,0,0,0,0,0,0
2020-01-24,MAC,2,0,28.7,28.7,39.29,39.29
2020-01-24,MAR,0,0,0,0,0,0
2020-01-24,MCO,0,0,9.26,9.26,16.67,16.67
2020-01-24,MDA,0,0,5.56,5.56,9.52,9.52
2020-01-24,MDG,0,0,0,0,0,0
2020-01-24,MEX,0,0,0,0,0,0
2020-01-24,MLI,0,0,0,0,0,0
2020-01-24,MLT,0,0,0,0,0,0
2020-01-24,MMR,0,0,0,0,0,0
2020-01-24,MNG,0,0,11.11,11.11,14.29,14.29
2020-01-24,MOZ,0,0,0,0,0,0
2020-01-24,MRT,0,0,0,0,0,0
2020-01-24,MUS,0,0,0,0,0,0
2020-01-24,MWI,0,0,0,0,0,0
2020-01-24,MYS,0,0,11.11,11.11,14.29,14.29
2020-01-24,NAM,0,0,0,0,0,0
2020-01-24,NER,0,0,0,0,0,0
2020-01-24,NGA,0,0,5.56,5.56,9.52,9.52
2020-01-24,NIC,0,0,0,0,0,0
2020-01-24,NLD,0,0,0,0,0,0
2020-01-24,CHL,0,0,0,0,0,0
2020-01-24,CHN,916,26,44.91,44.91,40,40
2020-01-24,CIV,0,0,0,0,0,0
2020-01-24,CMR,0,0,0,0,0,0
2020-01-24,COD,0,0,0,0,0,0
2020-01-24,COG,0,0,0,0,0,0
2020-01-24,COL,0,0,8.33,8.33,9.52,9.52
